Partlist

Exported from Uniformity Array.brd at 3/28/16 1:24 PM

EAGLE Version 7.5.0 Copyright (c) 1988-2015 CadSoft

Assembly variant: 

Part     Value             Package               Library                       Position (inch)       Orientation
R25      510R              R0603                 Seeed-Resistor-2016           (2.8 0.3)             R0
R26      510R              R0603                 Seeed-Resistor-2016           (2.8 1.5)             R0
R27      510R              R0603                 Seeed-Resistor-2016           (2.8 1.1)             R0
R28      510R              R0603                 Seeed-Resistor-2016           (2.7 1.5)             R0
R29      510R              R0603                 Seeed-Resistor-2016           (2.7 1.1)             R0
R30      510R              R0603                 Seeed-Resistor-2016           (3.3 0.7)             R0
R31      510R              R0603                 Seeed-Resistor-2016           (3.3 0.3)             R0
R32      510R              R0603                 Seeed-Resistor-2016           (3.2 0.7)             R0
R33      510R              R0603                 Seeed-Resistor-2016           (3.2 0.3)             R0
R34      510R              R0603                 Seeed-Resistor-2016           (1.7 0.7)             R0
R35      510R              R0603                 Seeed-Resistor-2016           (1.7 0.3)             R0
R36      510R              R0603                 Seeed-Resistor-2016           (3.7 0.7)             R0
R37      510R              R0603                 Seeed-Resistor-2016           (3.7 0.3)             R0
R38      510R              R0603                 Seeed-Resistor-2016           (3.8 0.7)             R0
R39      510R              R0603                 Seeed-Resistor-2016           (3.8 0.3)             R0
R40      510R              R0603                 Seeed-Resistor-2016           (3.8 1.5)             R0
R41      510R              R0603                 Seeed-Resistor-2016           (3.8 1.1)             R0
R42      510R              R0603                 Seeed-Resistor-2016           (3.7 1.5)             R0
R43      510R              R0603                 Seeed-Resistor-2016           (3.7 1.1)             R0
R44      510R              R0603                 Seeed-Resistor-2016           (2.3 1.5)             R0
R45      510R              R0603                 Seeed-Resistor-2016           (2.3 1.1)             R0
R46      510R              R0603                 Seeed-Resistor-2016           (2.2 1.5)             R0
R47      510R              R0603                 Seeed-Resistor-2016           (2.2 1.1)             R0
R48      510R              R0603                 Seeed-Resistor-2016           (3.2 1.1)             R0
R49      510R              R0603                 Seeed-Resistor-2016           (3.2 1.5)             R0
R50      510R              R0603                 Seeed-Resistor-2016           (3.3 1.1)             R0
R51      510R              R0603                 Seeed-Resistor-2016           (3.3 1.5)             R0
R52      510R              R0603                 Seeed-Resistor-2016           (1.3 2.4)             R180
R53      510R              R0603                 Seeed-Resistor-2016           (1.15 2.2)            R180
U1       ATMEGA32U4-TQFP44 TQFP44-0.8-9.6X9.6MM  Seeed-OPL-ic                  (0.9 2.475)           R0
U2       PCA9547D,112      SOIC127P1032X265-24N  NXP_By_element14_Batch_1      (1.7 2.15)            R0
U3       PCA9547D,112      SOIC127P1032X265-24N  NXP_By_element14_Batch_1      (3.65 2.15)           R0
U4       LP2985-33DBVR     SOT-23-5              Seeed-IC-2016                 (1.05 2.95)           R270
U5       PCA9547D,112      SOIC127P1032X265-24N  NXP_By_element14_Batch_1      (2.7 2.15)            R0
Y1       16MHZ             X2-SMD-5.0X3.2X1.3MM  Seeed-Crystal Oscillator-2016 (0.89 1.925)          R0
Z1       5V-28V            R0603                 Seeed-Diode-2016              (0.3 2.45)            R0
Z2       5V-28V            R0603                 Seeed-Diode-2016              (0.3 2.675)           R180
